"","Agency","Account","State","Project","Amount","Senate_Requestor","Originiation","House_Requestor"
"1024","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Huntsville for Wastewater Treatment Plant Upgrades","750000","","H","Sessions"
"1025","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Pflugerville for Pump Station and Storage Tank Project","750000","","H","Sessions"
"1026","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Town of Millburn for Gilbert Place Stormwater Pump Station","1092000","","H","Sherrill"
"1027","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Township of Little Falls for Peckman Riverbank Stabilization Project","1092000","","H","Sherrill"
"1028","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Township of Pequannock for Pump Station Project","1092000","","H","Sherrill"
"1029","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Township of Montville for PFAS Treatment Implementation Project","1092000","","H","Sherrill"
"1030","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Town of Dover for Lead Service Line Replacements","1092000","","H","Sherrill"
"1031","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Township of Nutley for Booster Pump Station Enhancement","5e+05","","H","Sherrill"
"1032","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IN","Town of Glenwood for Water Line Project","1250000","","H","Shreve"
"1033","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IN","Town of Dublin for Water Treatment Plant Project","1250000","","H","Shreve"
"1034","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of San Leandro for Water Infrastructure Improvement Project","1092000","","H","Simon"
"1035","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","East Bay Regional Park District for Martin Luther King Jr. Regional Shoreline Water Quality Improvement Project","1092000","","H","Simon"
"1036","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","ID","Shoshone-Bannock Tribes for Water Tank Replacement","4e+06","","H","Simpson"
"1037","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","ID","City of Rigby for Drinking Water Improvement Project","2500000","","H","Simpson"
"1038","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","ID","City of Bellevue for Drinking Water Improvements Project","4e+06","","H","Simpson"
"1039","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","ID","City of American Falls for Water Improvement Project","2500000","","H","Simpson"
"1040","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NE","Village of Ohiowa for Well Replacement","344000","","H","Smith (NE)"
"1041","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NE","Village of Ewing for Water Management Improvements","716000","","H","Smith (NE)"
"1042","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Township of Manchester for Water Supply and Treatment Project","1750000","","H","Smith (NJ)"
"1043","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Ocean County Utility Authority for Pump Station Improvements","2e+06","","H","Smith (NJ)"
"1044","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Belmar Environmental Commission for Stormwater Quality Improvement Project","1e+06","","H","Smith (NJ)"
"1045","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Renton for Kennydale Lakeline Sanitary Sewer and Water Quality Preservation Project","1092000","","H","Smith (WA)"
"1046","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","King County Water District 54 for Water Treatment Modernization","1092000","","H","Smith (WA)"
"1047","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Bloomington for East Street Basin Stormwater Improvements","1092000","","H","Sorensen"
"1048","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Elmwood for Wastewater Lagoon Upgrades","1e+06","","H","Sorensen"
