"","Agency","Account","State","Project","Amount","Senate_Requestor","Originiation","House_Requestor"
"491","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Trenton for Sewage Retention Basin Project","1092000","","H","Dingell"
"492","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Multi Lakes Water and Sewer Authority for Pollution Prevention Project","580000","","H","Dingell"
"493","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","Ypsilanti Community Utilities Authority for Water Main Improvement Project","1092000","","H","Dingell"
"494","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Austin for Waterloo Greenway Creek Restoration and Water Quality Improvements","1092000","","H","Doggett"
"495","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Travis County for McNeil Drive Drainage Improvements","1092000","","H","Doggett"
"496","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MT","City of Billings for Flume Replacement Project","1e+06","","H","Downing"
"497","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of DeFuniak Springs for Wastewater System Upgrade","1e+06","","H","Dunn"
"498","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Washington County Board of County Commissioners for Water and Sewer Infrastructure Improvement Project","750000","","H","Dunn"
"499","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","Gadsden County for Water System Improvement and Expansion Project","750000","","H","Dunn"
"500","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Town of Spruce Pine for Water Storage Tank Project","2250000","","H","Edwards"
"501","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Town of Elk Park for Water Infrastructure Improvements","528000","","H","Edwards"
"502","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Town of Franklin for High Service Pump Replacement","2e+06","","H","Edwards"
"503","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Sartell for Force Main Project","2e+06","","H","Emmer"
"504","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Norwood Young America for Water Infrastructure Improvements","1600000","","H","Emmer"
"505","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Montrose for Wastewater Treatment Plant Regionalization Project","2e+06","","H","Emmer"
"506","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of St. Francis for Water and Sewer Infrastructure Upgrades","2e+06","","H","Emmer"
"507","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Foley for Water Treatment Plant and Well Construction","2e+06","","H","Emmer"
"508","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Gilman for Infrastructure Improvement Project","2e+06","","H","Emmer"
"509","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","Laketown Township for Community Sewer Improvement Project","2e+06","","H","Emmer"
"510","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Big Lake for Wastewater Treatment Plant Improvements","2e+06","","H","Emmer"
"511","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","El Paso County for East Montana Water Tower Project","1092000","","H","Escobar"
"512","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MS","City of Petal for Wastewater Infrastructure Improvement Project","1750000","","H","Ezell"
"513","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","Lafayette Consolidated Government for Water and Wastewater Laboratories Replacement Project","1092000","","H","Fields"
"514","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AL","City of Phenix for Waste Water Collection System Rehabilitation Part 2","492880","","H","Figures"
"515","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AL","The Water Works and Sewer Board of the City of Greenville for Water Supply District Project","1092000","","H","Figures"
"516","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Manchester for Watermain Replacement Project","1750000","","H","Finstad"
"517","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Eagle Lake for Water Treatment Improvement Project","1050000","","H","Finstad"
"518","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Butterfield for Wastewater Treatment Facility Repairs","1050000","","H","Finstad"
"519","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Rochester for Sanitary Sewer Improvement Project","1e+06","","H","Finstad"
"520","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Pine Island for Wastewater Treatment Facility","1e+06","","H","Finstad"
"521","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Trimont for Water Infrastructure Improvements","1e+06","","H","Finstad"
"522","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Blooming Prairie for Water Infrastructure Improvements","1e+06","","H","Finstad"
"523","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Okabena for Water Distribution System Improvements","750000","","H","Finstad"
"524","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Pemberton for Distribution System Repairs","8e+05","","H","Finstad"
"525","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Dennison for Water Infrastructure Improvement Project","1e+06","","H","Finstad"
"526","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Nerstrand for Water Infrastructure Improvements","1e+06","","H","Finstad"
"527","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of West Union for Wastewater Infrastructure Improvement Project","1e+06","","H","Fischbach"
"528","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","Lake Henry for Sewer System Replacement","5e+05","","H","Fischbach"
"529","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Elizabeth for Sanitary Sewer Improvement Project","1750000","","H","Fischbach"
"530","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Ruthton for Water Tower Replacement","750000","","H","Fischbach"
"531","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","Lake Lillian for Water System Updates","750000","","H","Fischbach"
"532","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","Hanley Falls for Sewer and Water Main Replacement","750000","","H","Fischbach"
"533","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","Henderson for Water Filtration Plant Construction","750000","","H","Fischbach"
"534","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Wheaton for Water Main Pipe Replacement","750000","","H","Fischbach"
"535","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","Barnesville for Water Improvement Project","750000","","H","Fischbach"
"536","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","Polk County for Water Improvement Project","750000","","H","Fischbach"
"537","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TN","City of Oak Ridge for Water Infrastructure Project","3e+06","","H","Fleischmann"
"538","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TN","Athens Utilities Board for Water System Improvements","2e+06","","H","Fleischmann"
"539","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Southside Place for Edloe/Auden Sanitary Sewer Replacement Project","909909","","H","Fletcher"
"540","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NE","City of Scribner for Wastewater Treatment Improvement Project","750000","","H","Flood"
"541","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Visalia for Groundwater Recharge Basin Project","2e+06","","H","Fong"
"542","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Tule River Indian Tribe of California for Water Transmission Improvement Project","1250000","","H","Fong"
"543","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Ridgecrest for Wastewater Treatment Plant","1e+06","","H","Fong"
"544","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Lemoore for Water Meter Project","1e+06","","H","Fong"
"545","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Crystal Lake for Lead Service Line Replacement","1092000","","H","Foster"
"546","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Naperville for Springbrook Water Reclamation Center Expansion","1092000","","H","Foster"
"547","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Northern Moraine Wastewater Reclamation District for Darrell Road Collection System","1092000","","H","Foster"
"548","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Northern Moraine Wastewater Reclamation District for Village of Holiday Hills Sanitary Sewer Extension Project","1092000","","H","Foster"
"549","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Wauconda for Lead Service Line Replacement Phase 1","1092000","","H","Foster"
"550","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","City of Aurora for Lead Service Line Replacement Project","1092000","","H","Foster / Underwood"
"551","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","City of Mebane for GE Pump Station and Force Main Improvement Project","1092000","","H","Foushee"
"552","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Durham County for Page Park Lift Station Improvements","1092000","","H","Foushee"
