"","Agency","Account","State","...4","Amount","Requestor"
"842","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Solano Irrigation District for Vaca Valley Public Water System Consolidation Phase I",1092000,"Thompson (CA)"
"843","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Borough of Ford City for Storm Sewer Rehabilitation",1940928,"Thompson (PA)"
"844","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Freeburg Borough for Sewer System Rehabilitation Project",750000,"Thompson (PA)"
"845","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","SC","Commissioners of Public Works of the City of Greenville for Transfer Pump Station Project",1750000,"Timmons"
"846","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","SC","MetroConnects for Sewer Replacement Project",1750000,"Timmons"
"847","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NV","City of Boulder City for Wastewater Treatment Plant Upgrades",980000,"Titus"
"848","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Garden City for Water System Rehabilitation Project",1092000,"Tlaib"
"849","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Lathrup Village for Eldorado Water Main Replacement",880000,"Tlaib"
"850","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","HI","Kauai County Department of Water Supply for Kilauea Water Tank Replacement Project",1092000,"Tokuda"
"851","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","HI","Maui County for Lahaina Water Infrastructure Resiliency and Hardening",1092000,"Tokuda"
"852","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Altamont for Wastewater Treatment Plant Disinfection Improvements",1092000,"Tonko"
"853","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Menands for South End Neighborhood Water System Improvements",1092000,"Tonko"
"854","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Stillwater for Phase Three Water Main Replacements",1092000,"Tonko"
"855","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Chino Hills for Los Serranos Flood Protection Project",1092000,"Torres (CA)"
"856","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Upland for Campus Avenue Storm Drain Improvement Project",1092000,"Torres (CA)"
"857","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Inland Empire Utilities Agency for Chino Basin Advanced Water Purification Demonstration Facility",1092000,"Torres (CA)"
"858","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Chino for Benson Emergency Power Generator Project",1092000,"Torres (CA)"
"859","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Monte Vista Water District for Pipeline Replacement Project",1092000,"Torres (CA)"
"860","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","City of Lowell for Centralville Sewer Separation Project",1092000,"Trahan"
"861","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Littleton for Common Sewer System Expansion Project",1092000,"Trahan"
"862","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Groton for Groton/Dunstable/Pepperell Regional Water System Expansion PFAS Mitigation Project",1092000,"Trahan"
"863","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Westford for PFAS Treatment Infrastructure Project",1092000,"Trahan"
"864","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Cypress for Stormwater Pump Station Upgrade",1092000,"Tran"
"865","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","City of Dayton for Water Infrastructure Project Phase I",2e+06,"Turner"
"866","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Grand Prairie Water Commission for Water Infrastructure Project in Northern Illinois",1092000,"Underwood"
"867","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","City of Oglesby for Water Main Replacement Project",1020800,"Underwood"
"868","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Oswego for Drinking Water Supply Project",1092000,"Underwood"
"869","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Avenal for Water Storage Tank Project",4e+06,"Valadao"
"870","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of McFarland for Well Replacement",2e+06,"Valadao"
"871","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","County of Kings for New Well Project",2e+06,"Valadao"
"872","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Corcoran for Stormwater Enhancements Project",2e+06,"Valadao"
"873","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Shafter-Wasco Irrigation District for Groundwater Recharge Project",2e+06,"Valadao"
"874","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Arvin-Edison Water Storage District for Water Supply Expansion Project",2e+06,"Valadao"
"875","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Borough of Swedesboro for Lead Pipe Abatement",1e+06,"Van Drew"
"876","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Long Beach Township for Sewer Main Replacement",750000,"Van Drew"
"877","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Keller for Water Line Project",1e+06,"Van Duyne"
"878","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WI","City of Altoona for Water System Improvements",2250000,"Van Orden"
"879","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WI","City of Prairie du Chien for Wastewater Treatment Facility Upgrades",1250000,"Van Orden"
"880","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of San Diego for Beta Street Channel and Storm Drain Improvement Project",1092000,"Vargas"
"881","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of San Diego for Jamacha Drainage Channel Upgrade Storm Water Drain Project",1092000,"Vargas"
"882","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Sweetwater Authority for Sodium Hypochlorite Chlorination Water Treatment System",1e+06,"Vargas"
"883","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NM","Anthony Water and Sanitation District for Wastewater Treatment Plant Improvement",1092000,"Vasquez"
"884","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NM","City of Belen for Wastewater Treatment Project",1092000,"Vasquez"
"885","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NM","City of Truth or Consequences for Clancy Lift Station Replacement",1092000,"Vasquez"
"886","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NM","Ramah Navajo School Board for Drinking Water Improvement Project",1092000,"Vasquez"
"887","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VA","Greene County for Stanardsville Water Main Infrastructure Improvements",1092000,"Vindman"
"888","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VA","Town of Orange for Liquid Feed Building Project",8e+05,"Vindman"
"889","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","Whiteford Township for Water Plant Upgrades",2e+06,"Walberg"
"890","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","GRSD Sewer Authority for Tertiary Filter Replacement",2e+06,"Walberg"
"891","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Jonesville for Lead Service Line and Water Main Replacement",1e+06,"Walberg"
"892","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","Summit Township for Water Supply Project",750000,"Walberg"
"893","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","Village of Michiana for Water Main Replacement",1e+06,"Walberg"
"894","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Dania Beach for Wastewater Infrastructure Improvement",1e+06,"Wasserman Schultz"
"895","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Hallandale Beach for Water Main Rehabilitation Project",1092000,"Wasserman Schultz"
"896","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Hollywood for Boulevard Heights Sewer Expansion Project",1092000,"Wasserman Schultz"
"897","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Sunrise for Southwest Wastewater Treatment Plant New Deep Injection Well Project",1092000,"Wasserman Schultz"
"898","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Cooper City for Wastewater Treatment Plant New Headworks Facility Project",1092000,"Wasserman Schultz"
"899","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Compton for Willowbrook-Culver Sewer Replacement Project",1092000,"Waters"
"900","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Borough of Rocky Hill for Municipal Water Infrastructure Improvements",1092000,"Watson Coleman"
"901","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Wildwood for Wastewater Capacity Upgrades",2e+06,"Webster"
"902","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Polk City for Wastewater Improvement Project",1750000,"Webster"
"903","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Clermont for Stormwater Infrastructure Improvements",750000,"Webster"
"904","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Crest Avenue Wastewater Treatment Facility Capacity Expansion and Process Optimization",750000,"Webster"
"905","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Santa Clarita Valley Water Agency for PFAS Treatment Project",1092000,"Whitesides"
"906","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","City of North Miami for Water Plant Modernization Project",1092000,"Wilson"
"907","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VA","City of Williamsburg for Water System Improvement Project",295000,"Wittman"
"908","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AR","City of Elkins for Water System Improvements",3750000,"Womack"
"909","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AR","Springdale Water Utilities for Trunk Line Construction",3e+06,"Womack"
"910","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MT","Town of Alberton for Water Storage Project",1e+06,"Zinke"
"911","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MT","Town of Philipsburg for Transmission Line Upgrade",1750000,"Zinke"
"912","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MT","Missoula County for Water Well Upgrades",1750000,"Zinke"
