"","Agency","Account","State","...4","Amount","Requestor"
"228","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Eagle Lake for Water Treatment Improvement Project",1050000,"Finstad"
"229","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Butterfield for Wastewater Treatment Facility Repairs",1050000,"Finstad"
"230","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Rochester for Sanitary Sewer Improvement Project",1e+06,"Finstad"
"231","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Pine Island for Wastewater Treatment Facility",1e+06,"Finstad"
"232","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Trimont for Water Infrastructure Improvements",1e+06,"Finstad"
"233","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Blooming Prairie for Water Infrastructure Improvements",1e+06,"Finstad"
"234","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Okabena for Water Distribution System Improvements",750000,"Finstad"
"235","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Pemberton for Distribution System Repairs",8e+05,"Finstad"
"236","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Dennison for Water Infrastructure Improvement Project",1e+06,"Finstad"
"237","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Nerstrand for Water Infrastructure Improvements",1e+06,"Finstad"
"238","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of West Union for Wastewater Infrastructure Improvement Project",1e+06,"Fischbach"
"239","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","Lake Henry for Sewer System Replacement",5e+05,"Fischbach"
"240","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Elizabeth for Sanitary Sewer Improvement Project",1750000,"Fischbach"
"241","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Ruthton for Water Tower Replacement",750000,"Fischbach"
"242","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","Lake Lillian for Water System Updates",750000,"Fischbach"
